# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-17 b,Confirmed,2.45,0.014,0.014,,,,1.312,0.018,0.018,1.4857108,2e-07,2e-07,0.02591,0.00037,0.00037,0.011,inf,nan,87.2,0.15,0.15,3.2e-05,2011,2013-10-19,,,,,,,,,,2455185.67803,2.6e-05,2.6e-05,,,,,,,,,,,,,,,,1655.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-17,298.3958333,47.815,14.0,,,,,800.0,100.0,100.0,0.26,0.1,0.1,1.16,0.06,0.06,1.05,0.03,0.03,G2V,1.78,inf,nan,5781.0,85.0,85.0,,,
Kepler-177 b,Confirmed,0.00535,0.00787,0.00378,,,,0.259,0.013,0.013,35.855,,,,,,,,,,,,,2013,2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-177,286.0458,45.0533,15.0,,,,,,,,0.091,,,0.93,0.49,0.28,0.98,0.05,0.05,,,,,5942.0,,,,,
Kepler-177 c,Confirmed,0.0198,0.033,0.0107,,,,0.635,0.033,0.033,49.412,,,,,,,,,,,,,2013,2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-177,286.0458,45.0533,15.0,,,,,,,,0.091,,,0.93,0.49,0.28,0.98,0.05,0.05,,,,,5942.0,,,,,
Kepler-18 b,Confirmed,0.0216153289494384,0.0109492495988421,0.0109492495988421,,,,0.17842836725554,0.00802927652649929,0.00802927652649929,3.504725,2.8e-05,2.8e-05,0.0447,0.0006,0.0006,,,,84.92,0.26,0.26,,2011,2013-11-05,,,,,,,,,,2454966.5068,0.0021,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-18,298.0791667,44.7463889,14.0,,,,,,,,0.2,0.04,0.04,0.972,0.042,0.042,1.108,0.051,0.051,,10.0,2.3,2.3,5383.0,44.0,44.0,,,
Kepler-18 c,Confirmed,0.0541169807758865,0.00597803857408048,0.00597803857408048,,,,0.488893726280179,0.0223035459069425,0.0223035459069425,7.64159,3e-05,3e-05,0.0752,0.0011,0.0011,,,,87.68,0.22,0.22,,2011,2013-11-05,,,,,,,,,,2455167.0883,0.0023,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-18,298.0791667,44.7463889,14.0,,,,,,,,0.2,0.04,0.04,0.972,0.042,0.042,1.108,0.051,0.051,,10.0,2.3,2.3,5383.0,44.0,44.0,,,
Kepler-18 d,Confirmed,0.0512852782934273,0.00437340716735362,0.00437340716735362,,,,0.621822859885556,0.0285485387608864,0.0285485387608864,14.85888,4e-05,4e-05,0.1172,0.0017,0.0017,,,,88.07,0.1,0.1,,2011,2013-11-05,,,,,,,,,,2455169.1776,0.0013,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-18,298.0791667,44.7463889,14.0,,,,,,,,0.2,0.04,0.04,0.972,0.042,0.042,1.108,0.051,0.051,,10.0,2.3,2.3,5383.0,44.0,44.0,,,
Kepler-19 b,Confirmed,0.064,inf,nan,,,,0.198,0.004,0.004,9.2869944,8.8e-06,8.8e-06,0.085,0.0015,0.0006,,,,89.94,0.44,0.44,,2011,2013-04-25,,,,,,,,,,2454959.70597,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-19,290.4208333,37.8516667,12.0,,,,,,,,-0.13,0.06,0.06,0.936,0.04,0.04,0.85,0.018,0.018,,1.9,1.7,1.7,5541.0,60.0,60.0,,,
Kepler-197 c,Confirmed,0.017,0.0091,0.01,,,,0.1078,0.0043,0.0043,10.349711,5.4e-05,5.4e-05,0.09,,,0.08,0.08,0.21,,,,,2014,2015-12-18,,,,,,,,,,,,,,,,,,,0.22,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-197,295.2264405,50.559006,,,10.814,10.577,10.535,,,,-0.533,,,,,,1.12,0.03,0.03,,,,,6004.0,102.0,102.0,,,
Kepler-20 b,Confirmed,0.0305,0.00453,0.00444,,,,0.1667,0.003,0.0059,3.69611525,8.7e-07,1.15e-06,0.0463,0.0015,0.0009,0.03,0.03,0.09,87.355,1.594,0.215,0.000156,2011,2016-08-26,,,,,,,,,,2454967.50201,0.000217,0.000253,,,,,,,,,,,,,4.2,0.65,0.55,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-20 c,Confirmed,0.04012,0.00705,0.00683,,,,0.2718,0.005,0.0057,10.85409089,2.6e-06,3.03e-06,0.0949,0.0023,0.0027,0.16,0.09,0.01,89.815,0.632,0.036,0.000321,2011,2016-08-26,,,,,,,,,,2454971.60795,0.000202,0.000248,,,,,,,,,,,,,3.84,0.63,0.67,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-20 d,Confirmed,0.03168,0.0116,0.0125,,,,0.2448,0.0049,0.0065,77.61130017,0.00011588,0.00012305,0.3506,0.0101,0.0081,0.6,inf,nan,89.708,0.053,0.165,0.001191,2011,2016-08-26,,,,,,,,,,2454997.7303,0.001577,0.001179,,,,,,,,,,,,,1.57,0.57,0.62,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-20 e,Confirmed,0.0097,inf,nan,,,,0.0772,0.0025,0.0023,6.09852281,1.351e-05,6.08e-06,0.0639,0.0014,0.0019,,,,87.632,0.128,1.085,0.000175,2011,2016-08-26,,,,,,,,,,2454968.93154,0.000732,0.002223,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-20 f,Confirmed,0.045,,,,,,0.08948,0.0079,0.0045,19.57758478,0.00012256,9.037e-05,0.1396,0.0035,0.0036,,,,88.788,0.072,0.426,0.000379,2011,2016-08-26,,,,,,,,,,2454968.20706,0.004332,0.006076,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
Kepler-21 b,Confirmed,0.016,0.00541,0.00541,,,,0.1462,0.0013,0.0017,2.78578,3e-05,3e-05,0.0427172,3e-07,3e-07,0.02,0.02,0.1,83.2,0.26,0.28,0.000394,2011,2016-09-27,245.0,79.0,79.0,2456797.9,0.7,0.7,,,,2455093.83716,0.00085,0.00062,,,,,,,0.584,0.02,0.018,,,,1.99,0.65,0.65,2025.0,,,,,,,,,Announced on a professional conference,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-21,287.3625,38.7138889,8.27,,,,,108.0,19.0,19.0,-0.15,0.06,0.06,1.34,0.06,0.06,1.86,0.04,0.04,F6IV,2.84,0.35,0.35,6131.0,44.0,44.0,,,
Kepler-22 b,Confirmed,0.11,inf,nan,,,,0.21,0.012,0.012,289.8623,0.02,0.02,0.849,0.018,0.018,,,,89.764,0.042,0.042,0.004468,2011,2013-06-11,,,,,,,,,,2454966.6983,0.0023,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-22,289.2166667,47.8844444,12.0,,,,,190.0,,,-0.29,0.06,0.06,0.97,0.06,0.06,0.979,0.02,0.02,G5,,,,5518.0,44.0,44.0,,,
Kepler-23 b,Confirmed,0.0478,0.0091,0.01,,,,0.1511,0.0068,0.0068,7.106995,7.3e-05,7.3e-05,0.075,,,0.06,0.06,0.26,,,,,2012,2015-11-25,,,,,,,,,,2454971.3022,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-23,294.2166667,49.4791667,14.0,,,,,,0.12,0.12,,,,1.11,,,1.52,0.3,0.3,,,,,5760.0,124.0,124.0,,,
Kepler-23 c,Confirmed,0.189,0.033,0.036,,,,0.278,0.0089,0.0089,10.742434,3.9e-05,3.9e-05,0.099,,,0.02,0.02,0.39,,,,,2012,2015-11-25,,,,,,,,,,2454966.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-23,294.2166667,49.4791667,14.0,,,,,,0.12,0.12,,,,1.11,,,1.52,0.3,0.3,,,,,5760.0,124.0,124.0,,,
Kepler-23 d,Confirmed,0.055,0.037,0.043,,,,0.1994,0.0079,0.0079,15.27429,0.00017,0.00017,0.124,,,0.08,0.08,0.24,,,,,2014,2015-11-25,,,,,,,,,,2454980.5655,,,,,,,,,0.25,0.21,0.21,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-23,294.2166667,49.4791667,14.0,,,,,,0.12,0.12,,,,1.11,,,1.52,0.3,0.3,,,,,5760.0,124.0,124.0,,,
Kepler-238 e,Confirmed,0.626,3.54,0.048,,,,0.501,0.724,0.501,23.654,,,,,,,,,,,,,2013,2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-238,287.8958,40.6378,,,,,,,,,0.143,,,1.43,5.82,1.31,0.9,0.3,0.3,,,,,5614.0,,,,,
Kepler-238 f,Confirmed,0.056,0.294,0.0047,,,,0.179,0.258,0.179,50.447,,,,,,,,,,,,,2013,2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-238,287.8958,40.6378,,,,,,,,,0.143,,,1.43,5.82,1.31,0.9,0.3,0.3,,,,,5614.0,,,,,
Kepler-24 b,Confirmed,1.6,inf,nan,,,,0.21,,,8.1453,,,0.08,,,,,,,,,,2012,2012-01-30,,,,,,,,,,2454973.5689,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-24,290.4125,38.3438889,15.5,,,,,,,,,,,1.03,0.14,0.14,1.07,0.23,0.23,,,,,5800.0,200.0,200.0,,,
Kepler-24 c,Confirmed,1.6,inf,nan,,,,0.25,,,12.3335,,,0.106,,,,,,,,,,2012,2012-01-30,,,,,,,,,,2454970.586,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-24,290.4125,38.3438889,15.5,,,,,,,,,,,1.03,0.14,0.14,1.07,0.23,0.23,,,,,5800.0,200.0,200.0,,,
Kepler-25 b,Confirmed,0.028,0.0069,0.0076,,,,0.2411,0.0033,0.0033,6.2385369,3.3e-06,3.3e-06,0.068,,,0.05,0.05,0.11,,,,,2012,2015-11-27,,,,,,,,,,2454973.5126,,,,,,,,,0.54,0.01,0.01,,,,2.8,1.2,1.2,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-25,286.6375,39.4877778,11.0,,,,,,,,0.01,0.09,0.09,1.22,0.06,0.06,1.36,0.13,0.13,,,,,6190.0,80.0,80.0,,,
Kepler-25 c,Confirmed,0.045,0.008,0.008,,,,0.4598,0.0054,0.0054,12.7203678,3.5e-06,3.5e-06,0.11,,,0.01,0.01,0.07,,,,,2012,2015-11-27,,,,,,,,,,2454986.0871,,,,,,,,,0.88,,,,,,5.63,1.3,1.3,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-25,286.6375,39.4877778,11.0,,,,,,,,0.01,0.09,0.09,1.22,0.06,0.06,1.36,0.13,0.13,,,,,6190.0,80.0,80.0,,,
Kepler-26 b,Confirmed,0.00875,0.00035,0.00035,,,,0.248,0.0098,0.0098,12.2829,,,0.085,,,,,,,,,,2012,2016-03-16,,,,,,,,,,2454978.8321,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-26,284.9416667,46.5666667,16.0,,,,,,,,-0.21,0.08,0.08,0.65,0.03,0.03,0.59,0.03,0.03,,,,,4500.0,100.0,100.0,,,
Kepler-26 c,Confirmed,0.01949,0.0021,0.0021,,,,0.243,0.011,0.011,17.2513,,,0.107,,,,,,,,,,2012,2016-03-16,,,,,,,,,,2454982.8854,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-26,284.9416667,46.5666667,16.0,,,,,,,,-0.21,0.08,0.08,0.65,0.03,0.03,0.59,0.03,0.03,,,,,4500.0,100.0,100.0,,,
Kepler-27 b,Confirmed,9.11,inf,nan,,,,0.36,,,15.3348,,,0.118,,,,,,,,,,2012,2012-01-30,,,,,,,,,,2454991.6726,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-27,292.2375,41.0858333,,,,,,,,,0.41,0.04,0.04,0.65,0.16,0.16,0.59,0.15,0.15,,,,,5400.0,60.0,60.0,,,
Kepler-27 c,Confirmed,13.8,inf,nan,,,,0.44,,,31.3309,,,0.191,,,,,,,,,,2012,2013-10-10,,,,,,,,,,2454986.4274,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-27,292.2375,41.0858333,,,,,,,,,0.41,0.04,0.04,0.65,0.16,0.16,0.59,0.15,0.15,,,,,5400.0,60.0,60.0,,,
Kepler-276 c,Confirmed,0.045,0.067,0.0299,,,,0.259,0.0143,0.0143,31.884,,,,,,,,,,,,,2013,2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-276,293.5667,39.0364,,,,,,,,,0.012,,,0.96,0.42,0.29,0.95,0.05,0.05,,,,,5812.0,,,,,
Kepler-276 d,Confirmed,0.044,0.0673,0.0283,,,,0.25,0.0134,0.0134,48.648,,,,,,,,,,,,,2013,2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-276,293.5667,39.0364,,,,,,,,,0.012,,,0.96,0.42,0.29,0.95,0.05,0.05,,,,,5812.0,,,,,
Kepler-277 b,Confirmed,0.28,0.471,0.139,,,,0.261,0.0349,0.0349,17.324,,,,,,,,,,,,,2013,2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-277,286.5833,39.0772,13.4,,,,,,,,-0.315,,,1.19,0.49,0.37,1.65,0.22,0.22,,,,,6306.0,,,,,
Kepler-277 c,Confirmed,0.21,0.313,0.134,,,,0.3,0.04,0.04,33.006,,,,,,,,,,,,,2013,2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-277,286.5833,39.0772,13.4,,,,,,,,-0.315,,,1.19,0.49,0.37,1.65,0.22,0.22,,,,,6306.0,,,,,
Kepler-279 c,Confirmed,0.171,0.469,0.05,,,,0.385,0.157,0.157,35.736,,,0.232,,,,,,,,,,2013,2013-12-30,,,,,,,,,,2454984.0612,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-279,287.3917,42.195,13.7,,,,,,,,-0.57,,,1.23,2.18,0.89,1.27,0.52,0.52,,,,,6562.0,,,,,
Kepler-279 d,Confirmed,0.13,0.357,0.038,,,,0.277,0.114,0.114,54.414,,,0.30728,,,,,,,,,,2013,2013-12-30,,,,,,,,,,2454981.8799,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-279,287.3917,42.195,13.7,,,,,,,,-0.57,,,1.23,2.18,0.89,1.27,0.52,0.52,,,,,6562.0,,,,,
Kepler-28 b,Confirmed,1.51,inf,nan,,,,0.32,,,5.9123,,,0.062,,,,,,,,,,2012,2012-01-30,,,,,,,,,,2454975.6227,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-28,292.1375,42.4294444,15.5,,,,,,,,0.34,,,0.75,,,0.7,,,,,,,4590.0,,,,,
Kepler-28 c,Confirmed,1.36,inf,nan,,,,0.3,,,8.9858,,,0.081,,,,,,,,,,2012,2012-01-30,,,,,,,,,,2454981.7277,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-28,292.1375,42.4294444,15.5,,,,,,,,0.34,,,0.75,,,0.7,,,,,,,4590.0,,,,,
Kepler-282 d,Confirmed,0.204,0.38,0.08,,,,0.22,,,24.806,,,,,,,,,,,,,2013,2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-282,269.6792,44.7975,15.2,,,,,,,,-0.374,,,1.09,0.46,0.33,1.01,0.05,0.05,,,,,5876.0,,,,,
Kepler-282 e,Confirmed,0.192,0.3,0.12,,,,0.277,0.0143,0.0143,44.347,,,,,,,,,,,,,2013,2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-282,269.6792,44.7975,15.2,,,,,,,,-0.374,,,1.09,0.46,0.33,1.01,0.05,0.05,,,,,5876.0,,,,,
Kepler-289 b,Confirmed,0.023,0.021,0.021,0.023,0.021,0.021,0.192,0.009,0.009,34.545,0.0005,0.0005,0.21,0.01,0.01,0.024,0.024,0.024,89.59,0.48,0.3,,2014,2016-02-12,28.0,,,,,,,,,2454965.6404,0.004,0.004,,,,,,,0.04,0.68,0.68,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,PH3 b,,Kepler-289,297.4653321,42.882851,12.9,,,,,700.0,14.0,14.0,0.05,0.04,0.04,1.08,0.02,0.02,1.0,0.02,0.02,,0.65,0.44,0.44,5990.0,38.0,38.0,,,PH3
Kepler-289 c,Confirmed,0.013,0.003,0.003,0.013,0.003,0.003,0.239,0.015,0.015,66.0634,0.0114,0.0114,0.33,0.02,0.02,0.0115,,,89.73,0.38,0.2,,2014,2016-02-12,72.0,,,,,,,,,2454975.6435,0.0068,0.0068,,,,,,,0.05,0.76,0.7,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,PH3 c,,Kepler-289,297.4653321,42.882851,12.9,,,,,700.0,14.0,14.0,0.05,0.04,0.04,1.08,0.02,0.02,1.0,0.02,0.02,,0.65,0.44,0.44,5990.0,38.0,38.0,,,PH3
Kepler-289 d,Confirmed,0.415,0.053,0.053,0.415,0.053,0.053,1.034,0.017,0.017,125.8518,0.0076,0.0076,0.51,0.03,0.03,0.0033,0.011,0.011,89.794,0.017,0.017,,2014,2016-02-12,45.0,,,,,,,,,2455059.6528,0.0077,0.0077,,,,,,,0.394,0.02,0.026,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,PH3 d,,Kepler-289,297.4653321,42.882851,12.9,,,,,700.0,14.0,14.0,0.05,0.04,0.04,1.08,0.02,0.02,1.0,0.02,0.02,,0.65,0.44,0.44,5990.0,38.0,38.0,,,PH3
Kepler-29 b,Confirmed,0.0142,0.0044,0.0044,,,,0.299,0.02,0.02,10.3376,0.0002,0.0002,0.09,,,,,,,,,,2012,2016-03-16,,,,,,,,,,2454982.75,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-29,298.35,47.4911111,15.5,,,,,,,,0.0,0.3,0.3,1.0,0.12,0.12,0.96,0.14,0.14,,,,,5750.0,200.0,200.0,,,
Kepler-29 c,Confirmed,0.013,0.0041,0.0041,,,,0.28,0.018,0.018,13.2907,0.0004,0.0004,0.11,,,,,,,,,,2012,2016-03-16,,,,,,,,,,2454978.471,0.016,0.016,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-29,298.35,47.4911111,15.5,,,,,,,,0.0,0.3,0.3,1.0,0.12,0.12,0.96,0.14,0.14,,,,,5750.0,200.0,200.0,,,
Kepler-30 b,Confirmed,0.036,0.004,0.004,,,,0.35,0.02,0.02,29.334,0.008,0.008,0.18,,,,,,89.82,0.16,0.16,,2012,2014-05-01,,,,,,,,,,2455246.65,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-30,285.2833333,38.9472222,15.5,,,,,,,,0.18,0.027,0.027,0.99,0.08,0.08,0.95,0.12,0.12,,,,,5498.0,54.0,54.0,,,
Kepler-30 c,Confirmed,2.01,0.16,0.16,,,,1.1,0.036,0.036,60.3231,0.0002,0.0002,0.3,,,,,,89.68,0.03,0.03,,2012,2012-08-31,,,,,,,,,,2455357.887,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-30,285.2833333,38.9472222,15.5,,,,,,,,0.18,0.027,0.027,0.99,0.08,0.08,0.95,0.12,0.12,,,,,5498.0,54.0,54.0,,,
Kepler-30 d,Confirmed,0.073,0.008,0.008,,,,0.79,0.045,0.045,143.343,0.009,0.009,0.5,,,,,,89.84,0.02,0.02,,2012,2012-08-31,,,,,,,,,,2455273.53,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-30,285.2833333,38.9472222,15.5,,,,,,,,0.18,0.027,0.027,0.99,0.08,0.08,0.95,0.12,0.12,,,,,5498.0,54.0,54.0,,,
Kepler-305 b,Confirmed,0.0356,0.0938,0.012,,,,0.322,0.111,0.111,5.487,,,0.05856,,,,,,,,,,2013,2013-12-20,,,,,,,,,,2455189.0796,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-305,299.225,40.3431,15.8,,,,,,,,-0.071,,,0.83,1.29,0.54,0.87,0.3,0.3,,,,,4918.0,,,,,
Kepler-305 c,Confirmed,0.0192,0.0538,0.0057,,,,0.295,0.1,0.1,8.291,,,0.07711,,,,,,,,,,2013,2013-12-20,,,,,,,,,,2455192.6276,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-305,299.225,40.3431,15.8,,,,,,,,-0.071,,,0.83,1.29,0.54,0.87,0.3,0.3,,,,,4918.0,,,,,
Kepler-307 b,Confirmed,0.0234,0.003,0.003,,,,0.217,0.008,0.008,10.416,,,,,,,,,,,,,2013,2016-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-307,297.7958,40.4178,14.1,,,,,,,,0.158,,,0.78,1.36,0.55,1.03,0.42,0.42,,,,,5445.0,,,,,
Kepler-307 c,Confirmed,0.01147,0.002,0.002,,,,0.196,0.006,0.006,13.084,,,,,,,,,,,,,2013,2016-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-307,297.7958,40.4178,14.1,,,,,,,,0.158,,,0.78,1.36,0.55,1.03,0.42,0.42,,,,,5445.0,,,,,
Kepler-31 c,Confirmed,4.7,inf,nan,,,,0.38,0.07,0.07,42.6318,0.0005,0.0005,0.26,,,,,,,,,,2012,2014-05-01,,,,,,,,,,2454974.191,0.007,0.007,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-31,294.025,45.8530556,15.5,,,,,,,,-0.08,0.4,0.4,1.21,0.17,0.17,1.22,0.24,0.24,,,,,6340.0,200.0,200.0,,,
Kepler-32 b,Confirmed,4.1,inf,nan,,,,0.37,0.036,0.036,5.90124,0.0001,0.0001,0.05,,,,,,,,,,2012,2014-05-01,,,,,,,,,,2454974.902,0.008,0.008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-32,297.8416667,46.5741667,16.0,,,,,,,,0.0,0.4,0.4,0.58,0.05,0.05,0.53,0.04,0.04,,,,,3900.0,200.0,200.0,,,
Kepler-32 c,Confirmed,0.5,inf,nan,,,,0.33,0.036,0.036,8.7522,0.0003,0.0003,0.09,,,,,,,,,,2012,2014-05-01,,,,,,,,,,2454977.378,0.013,0.013,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-32,297.8416667,46.5741667,16.0,,,,,,,,0.0,0.4,0.4,0.58,0.05,0.05,0.53,0.04,0.04,,,,,3900.0,200.0,200.0,,,
Kepler-328 b,Confirmed,0.069,0.198,0.019,,,,0.206,0.076,0.076,34.921,,,,,,,,,,,,,2013,2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-328,288.3125,46.7714,,,,,,,,,-0.186,,,0.98,1.6,0.66,0.97,0.36,0.36,,,,,5314.0,,,,,
Kepler-328 c,Confirmed,0.1,0.28,0.03,,,,0.483,0.179,0.179,71.312,,,,,,,,,,,,,2013,2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-328,288.3125,46.7714,,,,,,,,,-0.186,,,0.98,1.6,0.66,0.97,0.36,0.36,,,,,5314.0,,,,,
